TRANS_NUMBER,TRANS_ENTRY_SEQ_ID,TRANS_TYPE,TRANS_DATE,SALES_ORDER_NUMBER,PRODUCT_ID,TRANS_ENTRY_AMOUNT,POSTED_DATE,INVOICE_ID,ROLE_TYPE_ID,ORG_PARTY_ID,PARTY_ID,IS_DEBIT_CREDIT,GL_ACCOUNT,IS_POSTED,GL_FISCAL_TYPE_ID,TRANS_DESCRIPTION,TRANS_TYPE_DESCRIPTION,INVENTORY_ITEM_ID,PRODUCT_NAME,CURRENCY_UOM_ID,GL_ACCOUNT_TYPE_ID,ACCOUNT_CODE,ACCOUNT_NAME,RECONCILE_STATUS_ID,GL_ACCOUNT_CLASS_ID,GROUP_NAME,DOCUMENT_TYPE,BATCH_ID,RATE_TYPE_ID,EXCHANGE_RATE,U_OF_M,SITE_ID,QUANTITY,UNIT_PRICE
38432,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44488,M-5-P-0-3-0,11921.84,09/30/18,33022,BILL_TO_CUSTOMER,Company,1584,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1708,6.98
38433,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44489,M-5-P-0-2-0,75.00,09/30/18,33023,BILL_TO_CUSTOMER,Company,197,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,10,7.50
38433,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44489,M-5-P-0-1-0,7.50,09/30/18,33023,BILL_TO_CUSTOMER,Company,197,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1,7.50
38434,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44490,M-500-P-0-2-0,14840.00,09/30/18,33024,BILL_TO_CUSTOMER,Company,1461,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 500 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1060,14.00
38434,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44490,M-500-P-0-3-0,6624.00,09/30/18,33024,BILL_TO_CUSTOMER,Company,1461,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 500 MB Pooled VER (24 Month required)",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,207,32.00
38434,3,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44490,M-5-P-0-3-0,200.00,09/30/18,33024,BILL_TO_CUSTOMER,Company,1461,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,20,10.00
38434,4,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44490,M-5-P-0-2-0,67.50,09/30/18,33024,BILL_TO_CUSTOMER,Company,1461,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,9,7.50
38435,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44491,M-5-P-0-2-0,45.00,09/30/18,33025,BILL_TO_CUSTOMER,Company,1620,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,6,7.50
38435,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44491,M-5-P-0-3-0,178.64,09/30/18,33025,BILL_TO_CUSTOMER,Company,1620,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,29,6.16
38436,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44492,M-5-P-0-2-0,97.50,09/30/18,33026,BILL_TO_CUSTOMER,Company,1630,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,13,7.50
38436,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44492,M-5-P-0-3-0,37.50,09/30/18,33026,BILL_TO_CUSTOMER,Company,1630,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,5,7.50
38437,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44493,M-5-P-0-2-0,21.00,09/30/18,33027,BILL_TO_CUSTOMER,Company,1580,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,2,10.50
38438,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44494,M-5-P-0-2-0,52.50,09/30/18,33028,BILL_TO_CUSTOMER,Company,1142,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,5,10.50
38438,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44494,M-5-P-0-1-0,21.00,09/30/18,33028,BILL_TO_CUSTOMER,Company,1142,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,2,10.50
38439,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44495,M-5-P-0-2-0,31.50,09/30/18,33029,BILL_TO_CUSTOMER,Company,1142,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,3,10.50
38440,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44496,M-5-P-0-2-0,10.50,09/30/18,33030,BILL_TO_CUSTOMER,Company,1147,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1,10.50
38441,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44497,M-5-P-0-2-0,277.50,09/30/18,33031,BILL_TO_CUSTOMER,Company,1660,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,37,7.50
38441,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44497,M-5-P-0-3-0,10.50,09/30/18,33031,BILL_TO_CUSTOMER,Company,1660,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1,10.50
38442,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44498,M-5-P-0-2-0,42.00,09/30/18,33032,BILL_TO_CUSTOMER,Company,1670,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,4,10.50
38443,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44499,M-5-P-0-2-0,15.00,09/30/18,33033,BILL_TO_CUSTOMER,Company,350,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,2,7.50
38443,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44499,M-5-P-0-1-0,7.50,09/30/18,33033,BILL_TO_CUSTOMER,Company,350,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1,7.50
38444,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44500,M-5-P-0-1-0,31.50,09/30/18,33034,BILL_TO_CUSTOMER,Company,1680,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled US",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,3,10.50
38444,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44500,M-5-P-0-2-0,10.50,09/30/18,33034,BILL_TO_CUSTOMER,Company,1680,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1,10.50
38445,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44501,M-5-P-0-2-0,12.99,09/30/18,33035,BILL_TO_CUSTOMER,Company,31,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,3,4.33
38445,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44501,M-5-P-0-3-0,68.00,09/30/18,33035,BILL_TO_CUSTOMER,Company,31,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,8,8.50
38446,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44502,M-5-P-0-2-0,13.00,09/30/18,33036,BILL_TO_CUSTOMER,Company,31,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,2,6.50
38446,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44502,M-5-P-0-3-0,8.50,09/30/18,33036,BILL_TO_CUSTOMER,Company,31,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,1,8.50
38447,1,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44503,M-5-P-0-2-0,382.50,09/30/18,33037,BILL_TO_CUSTOMER,Company,1700,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled SP",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,51,7.50
38447,2,INVOICE_SALES_ATX,2018-09-30 00:00:00.0,WS44503,M-5-P-0-3-0,367.50,09/30/18,33037,BILL_TO_CUSTOMER,Company,1700,Credit,0-4020-000,Y,ACTUAL,,,,"Monthly 5 MB Pooled VER",USD,REVENUE,401000,MRC Connectivity USCC-ATM,AES_NOT_RECONCILED,,,STDINV,OpenTAPS entry 10-2018,Average,1,EACH,DENVER,35,10.50
